Hideo Kojima,Executive Producer
Hideo Kojima,Director
Yoji Shinkawa,Art Director
Kyle Cooper,Title Designer
Wataru Koga,Motion Capture
Makoto Arakawa,Motion Capture
Keiichi Wada,Motion Capture
Tyson Ohya,Motion Capture
Shoji Kurata,Motion Capture
Akira Sugihara,Motion Capture
Tony Hosokawa,Motion Capture
Akira Sugihara,Action Coordinator
Akira Sugihara,Wire Stunt Coordinator
Tomoaki Kawasumi,Wire Stunt Coordinator
Wataru Koga,Stunt Staff
Hidetaka Ichiyama,Stunt Staff
Iyunya Matsukami,Stunt Staff
Shoji Kurata,Stunt Staff
Yosuke Shibata,Stunt Staff
Takahiro Homma,Stunt Staff
Takuya Kanayama,Stunt Staff
Hideo Kojima,Writer
Kenji Yano,Writer
Shuyo Murata,Writer
Yoji Shinkawa,Character Design
Yoji Shinkawa,Concept Artist
Chihoko Uchiyama,Concept Artist
Toshiki Suda,Concept Artist
Takayuki Yanase,Concept Artist
Bahi Id,Concept Artist
Hideo Kojima,Casting Director
Hiroaki Yoshiike,Lead Level Designer
Satoshi Matsuno,Lead Level Designer
Mokuto Yamamoto,Lead Scripter
Satoshi Matsuno,Level Designer
Mokuto Yamamoto,Level Designer
Ziang Tan,Level Designer
Masaki Saito,Level Designer
Tatsumi Bannai,Level Designer
Hajime Antoine Umemura,Level Designer
Daisuke Suganuma,Level Designer
Takahashi Okamoto,Level Designer
Shota Nakano,Level Designer
Masanori Yasuda,Level Designer
Yoshikazu Matsuhana,Level Designer
Daizaburo Nakamura,Game Balance Designer
Hidek Sasaki,Technical Art Director
Takayuki Uchida,Lead Environment Artist
Shinichi Matsuda,Environment Artist
Shota Kurokawa,Environment Artist
Tsuyoshi Yakata,Environment Artist
Mamoru Okada,Environment Artist
Soichiro Hashii,Environment Artist
Naoya Shioji,Environment Artist
Chonnipa Nilubol,Environment Artist
Ryohei Oguma,Lead Character Artist
Takeya Inoguchi,Character Artist
Hironobu Matsui,Character Artist
Shingo Yuri,Character Artist
Aya Hotani,Character Artist
Masahiro Nose,Character Artist
Atsushi Kato,Character Artist
James Williamson,Character Artist
Yoshikazu Hara,Lead Mechanical Artist
Tatsuya Seko,Mechanical Artist
Eric Kim,Mechanical Artist
Keisuke Isomura,Mechanical Artist
Masaaki Kawata,Lead Animator
Kazuo Maruo,Animator
Ayumu Fujita,Animator
James Mariejeanne,Animator
Masaaki Wanifuchi,Animator
Gabrielle Coen,Animator
Yoshihiro Okada,Animator
Shota Hirasawa,Lead Cinematic Artist
Yasuhiro Kawakami,Cinematic Artist
Tomotaro Yasui,Cinematic Artist
Ryo Nakamura,Cinematic Artist
Hiromi Kishi,Cinematic Artist
Yuta Toshima,Cinematic Artist
Yasuhiro Ikoma,Lead VFX Artist
Soojin Kim,VFX Artist
Yusuke Higa,VFX Artist
Hiromichi Hayashi,VFX Artist
Dai Sasaki,VFX Artist
Yu Kagawa,VFX Artist
Akira  Inamura,Lead Lighting Artist
Shunichiro Watanabe,Lighting Artist
Kenichiro Nishida,Lighting Artist
Tsutomu Hashiguchi,Lead UI Artist
Case Tsuyoshi Matsumoto,UI Artist
Hirotaka Kinoshita,UI Artist
Ryotaro Nakano,UI Artist
Akio Sakamoto,Technical Director
Makoto Sonoyama,Lead Game Programmer
Kunio Takabe,Lead Game Programmer
Takehiro Nomura,Lead Game Programmer
Kenichi Muraoka,Game Programmer
Toshimitsu Michikami,Game Programmer
Jiaqi Zou,Game Programmer
Takehiro Tachikawa,Game Programmer
Fabian Lorenzo Baytion Dayrit,Game Programmer
Duosheng Yu,Game Programmer
Takashi Wagatsuma,Game Programmer
Eric Johnson,Game Programmer
Kenichi Fukuda,Game Programmer
Masao Tomosawa,Lead Game System Programmer
Taku Endo,Game System Programmer
Makoto Abe,Lead UI Programmer
Yusuke Takano,UI Programmer
Yuki Sato,UI Programmer
Motonori Ninomiya,UI Programmer
Yuma Imura,UI Programmer
Fumito Miyauchi,Lead System Programmer
Norihito Hatakeda,Lead System Programmer
Katsunori Yoshimatsu,System Programmer
Tatsuma Sato,System Programmer
Hidehisa Harada,System Programmer
Takaaki Ishikawa,Lead Graphics Programmer
Hiroki Tajima,Graphics Programmer
Kohei Ishiyama,Graphics Programmer
Jianxiong Hu,Graphics Programmer
Yuta Hoshino,Lead VFX Programmer
Yusuke Nishida,Lead Animation/Physics Programmer
Nozomu Takeuchi,Animation Programmer
Masayuki Kobayashi,Lead Network Programmer
Kotaro Mori,Lead Sound Programmer
Daizaburo Nakamura,Sound Programmer
Hiroaki Arai,Lead Tools Programmer
Hiroaki Arai,Lead Technical Artist
Shuhei Tsuruoka,Tools Programmer
Yuto Arita,Tools Programmer
Yuki Isozaki,Technical Artist
Ludvig Forssell,Audio Director
Ludvig Forssell,Musician
Hiroyuki Nakayama,Lead Sound Designer
Nick Van Kleef,Sound Designer
Peter Wayne,Sound Designer
Minoru Tsuchihashi,Sound Designer
