Kazuhide Nakazawa,Director
Masahiro Ito,Art Director
Akira Yamaoka,Sound Director
Yukinori Ojima,Program Director
Hiroyuki Owaku,Scenario Writer
Norihito Hatakeda,Graphic Engine Programmer
Yuki Mizuochi,Character Programmer
Hidehisa Harada,System Programmer
Kazutoshi Sugai,System Programmer
Yukinori Ojima,Collision Programmer
Kazumasa Ogiso,Converter Programmer
Hiroyuki Owaku,Event Programmer
Tomohiro Maeyama,Event Programmer
Hiroki Satoh,Event Programmer
Takumi Miyagishima,Monster Programmer
Yukinori Ojima,Monster Programmer
Hidehisa Harada,Monster Programmer
Hayato Fukushima,Shadow Programmer
Norihito Hatakeda,Another World Evil Effect Programmer
Hayato Fukushima,Effect Programmer
Naoto Oshima,Effect Programmer
Atsushi Sakamoto,SI Tool Programmer
Kenji Kawai,Sound Programmer
Makoto Hiura,Sound Programmer
Shingo Yuri,Character Modeling/Facial Animation
Minako Asano,Character Modeling/Facial Animation
Sachiko Sugawara,Character Modeling/Facial Animation
Masahiro Ito,Monster Design
Jun Inoue,Monster Design
Takashi Ito,Monster Design
Kazuhide Nakazawa,Monster Design
Yasunori Kanetake,Background Design
Takamitsu Nemoto,Background Design
Motomi Minowa,Background Design
Masahiro Ito,Background Design
Yuko Ito,Background Design
Takayoshi Tanaka,Background Design
Takashi Tscuhiya,Background Design
Takashi Maruyama,Background Design
Hiroko Usuda,Background Design
Mayuko Yano,Background Design
Tomoko Morohoshi,Background Design
Runa Sugiyama,Background Design
Shiro Yanagawa,Background Design
Motonobu Yoshino,Background Design
Kyohei Yamaguchi,Background Design
Masayuki Fujiki,Background Design
Hiroki Hamashima,Background Design
Yuji Kobayashi,Background Design
Yoshie Suzuki,Background Design
Ryoko Horie,Background Design
Hiromasa Kano,Background Design
Naoki Takenaka,Background Design
Naoki Tarama,Character Motion
Sosuke Honda,Character Motion
Shiro Kanemori,Character Motion
Tomohisa Koike,Drama Camera
Atsuya Tanaka,Drama Camera
Masahiro Ito,Drama Camera
Shingo Yuri,Drama Camera
Minako Asano,Drama Camera
Sachiko Sugawara,Drama Camera
Jun Inoue,Drama Camera
Takashi Ito,Drama Camera
Harumi Murakami,Drama Motion
Shiro Kanemori,Drama Motion
Atsushi Sakamoto,Drama Motion
Atsuya Tanaka,Drama Motion
Masami Naito,Lighting
Hidetomo Nishiura,Lighting
Takayoshi Tanaka,Lighting
Harumi Murakami,Lighting
Masaru Inomata,Still Picture
Jun Inoue,Still Picture
Takashi Tsutiya,Still Picture
Mayuko Yano,Still Picture
Hidetomo Nishiura,Item Model
Minako Asano,Item Model
Daisuke Nakayama,Logo/Product Design
Morio Kishida,CGI Movie Editor
Masahiro Ito,CGI Movie Editor
Norio Takemoto,Management Assistant
Taro Miyake,Publicity
Osamu Shigeta,Publicity
Kaz Nirasawa,Publicity
Yoshinori Aoyagi,Publicity
Hiroki Tabata,Publicity
Yoshinori Hirai,Publicity
Kanako Nakahara,Publicity
Megumi Igei,Casting Coordinator
Jeremy Blaustein,English Supervisor
Yutaka Maseba,Music Producer
Haruyo Kanesaku,Music Producer
Joe Romersa,Music Supervisor
Akira Yamaoka,Music
Aki Naito,Production Coordinator
Akira Yamaoka,Music Producer
Hirotaka Ishikawa,Senior Manager
Gozo Kitao,Executive Producer
