Suguru Murakoshi,Director Scenario Writer
Kosuke Iwakura,Program Director
Masashi Tsuboyama,Art Director
Akira Yamaoka,Sound Director
Kosuke Iwakura,Engine Programmer
Masayoshi Sato,Interface Programmer
Ken Kudo,Player Programmer
Hideyuki Fujii,Monster Programmer
Kenji Yoshino,Stream Programmer
Taku Otani,Demo Programmer
Masato Akiyama,Event Programmer
Tomohiro Maeyama,Event Programmer
Naoto Oshima,Camera Programmer
Masahiko Saito,Horror Phenomenon Programmer
Nazuki Matsushita,Sound Programmer
Masashi Tsuboyama,Monster Designer
Masaya Okada,Monster Designer
Jun Inoue,Monster Designer
Chieko Ogura,Character Designer
Naomi Hara,Character Designer
Shingo Yuri,Character Designer
Sachiko Sugawara,Character Designer
Minako Asano,Character Designer
Tomoko Mori,Character Designer
Tatsuto Yabe,Room Designer
Hiroko Usuda,Room Designer
Tomoko Morohoshi,Room Designer
Takeshi Miura,Background Designer
Masaya Aoyama,Background Designer
Kana Saito,Background Designer
Masayuki Fujiki,Background Designer
Kyohei Yamaguchi,Background Designer
Ryoko Horie,Background Designer
Takahide Murakami,Character Motion
Hideyuki Shin,Character Motion
Sosuke Honda,Character Motion
Atsushi Tsujimoto,Drama Animation
Atsushi Sakamoto,Drama Animation
Shiro Kanemori,Drama Animation
Mai Kitazawa,Logo Design
Kazunori Nirasawa,Publicity
Taro Miyake,Publicity
Morio Kishida,Publicity
Kanako Nakahara,Publicity
Yoshinori Hirai,Publicity
Yoko Yanagisawa,Publicity
Kazuya Maruyama
Jeremy Blaustein,English Supervisor
Yutaka Maseba,Music Producer
Haruyo Kanesaku,Music Producer
Joe Romersa,Music Supervisor
Akira Yamaoka,Music
Joe Romersa,Lyrics
Hiroyuki Owaku,Lyrics
Mary Elizabeth McGlynn,Vocalist
Joe Romersa,Vocalist
Akihiro Imamura,Sub-Producer
Akira Yamaoka,Producer
Hirotaka Ishikawa,Executive Producer
